ID	Name	Strasse	PLZ	Ort	Adresse
63	LANDI Aare Genossenschaft	Seilereistrasse 20	3114	Wichtrach	"Seilereistrasse 20, Wichtrach, Switzerland"
64	LANDI Aare Genossenschaft	Aemmenmattstrasse 4	3123	Belp	"Aemmenmattstrasse 4, Belp, Switzerland"
65	LANDI Thun Genossenschaft	Bahnhofstrasse 45	3127	Mühlethurnen	"Bahnhofstrasse 45, Mühlethurnen, Switzerland"
66	LANDI Laden Niederscherli	Eyboden 8	3145	Niederscherli	"Eyboden 8, Niederscherli, Switzerland"
67	LANDI Laden Schwarzenburg	Milchgässli 7	3150	Schwarzenburg	"Milchgässli 7, Schwarzenburg, Switzerland"
68	LANDI Bern-West	Freiburgstrasse 888	3174	Thörishaus	"Freiburgstrasse 888, Thörishaus, Switzerland"
69	LANDI UWA Ueberstorf Genossenschaft	Bernstrasse 34B	3175	Flamatt	"Bernstrasse 34B, Flamatt, Switzerland"
70	LANDI Bern-West	Laupenstrasse 12	3176	Neuenegg	"Laupenstrasse 12, Neuenegg, Switzerland"
71	LANDI Bern-West	Murtenstrasse 28	3177	Laupen	"Murtenstrasse 28, Laupen, Switzerland"
72	LANDI UWA Ueberstorf Genossenschaft	Flamattstrasse 10	3182	Ueberstorf	"Flamattstrasse 10, Ueberstorf, Switzerland"
73	LANDI Gurmels	Hauptstrasse 120	3212	Gurmels	"Hauptstrasse 120, Gurmels, Switzerland"
74	LANDI Seeland AG	Brüggfeld 1	3216	Ried bei Kerzers	"Brüggfeld 1, Ried bei Kerzers, Switzerland"
75	LANDI Seeland AG	Rämismatte 1	3232	Ins	"Rämismatte 1, Ins, Switzerland"
76	LANDI Messen	Haupstrasse 43	3254	Messen	"Haupstrasse 43, Messen, Switzerland"
77	LANDI Seeland AG	Chräjeninsel 16	3270	Aarberg	"Chräjeninsel 16, Aarberg, Switzerland"
78	LANDI Seeland AG	Alte Freiburgstrasse 33	3280	Murten	"Alte Freiburgstrasse 33, Murten, Switzerland"
79	LANDI Büren a. A. und Umgebung	Schulriederstrasse 3	3293	Dotzigen	"Schulriederstrasse 3, Dotzigen, Switzerland"
80	LANDI Büren a. A. und Umbebung	Güterweg 11	3294	Büren an der Aare	"Güterweg 11, Büren an der Aare, Switzerland"
81	LANDI Büren a. A. und Umbebung	Herrengasse 5	3297	Leuzigen	"Herrengasse 5, Leuzigen, Switzerland"
82	LANDI Moossee	Bernstrasse 62	3303	Jegenstorf	"Bernstrasse 62, Jegenstorf, Switzerland"
83	LANDI Moossee	Oberburgstrasse 1	3326	Krauchthal	"Oberburgstrasse 1, Krauchthal, Switzerland"
84	LANDI Herzogenbuchsee	Byfangstrasse 2	3360	Herzogenbuchsee	"Byfangstrasse 2, Herzogenbuchsee, Switzerland"
85	LANDI KoWy	Sägegasse 1	3400	Burgdorf	"Sägegasse 1, Burgdorf, Switzerland"
86	LANDI Region Aemme	Dicki	3415	Hasle-Rüegsau	"Dicki, Hasle-Rüegsau, Switzerland"
87	LANDI Region Aemme	Dorfstrasse 7	3418	Rüegsbach	"Dorfstrasse 7, Rüegsbach, Switzerland"
88	LANDI KoWY	Dorfstrasse 79	3423	Ersigen	"Dorfstrasse 79, Ersigen, Switzerland"
89	LANDI KoWy	Alchenstorfstrasse 3	3425	Koppigen	"Alchenstorfstrasse 3, Koppigen, Switzerland"
90	LANDI Landshut	Bahnhofstrasse 33	3427	Utzenstorf	"Bahnhofstrasse 33, Utzenstorf, Switzerland"
91	LANDI Region Aemme	Parkettstrasse 29	3432	Lützelflüh	"Parkettstrasse 29, Lützelflüh, Switzerland"
92	LANDI Region Langnau AG	Dorfstrasse 47	3436	Zollbrück	"Dorfstrasse 47, Zollbrück, Switzerland"
93	LANDI Region Aemme	Wylergasse 1	3455	Sumiswald	"Wylergasse 1, Sumiswald, Switzerland"
94	LANDI Region Aemme	Bahnhofstrasse 34	3457	Wasen	"Bahnhofstrasse 34, Wasen, Switzerland"
95	LANDI KoWy	Tannwaldmoosweg 1	3472	Wynigen	"Tannwaldmoosweg 1, Wynigen, Switzerland"
96	LANDI Riedtwil Genossenschaft	Hauptstrasse 43	3475	Riedtwil	"Hauptstrasse 43, Riedtwil, Switzerland"
97	LANDI Aare Genossenschaft	Bahnhofstrasse 17	3506	Grosshöchstetten	"Bahnhofstrasse 17, Grosshöchstetten, Switzerland"
98	LANDI Aare Genossenschaft	Hohle 3	3507	Biglen	"Hohle 3, Biglen, Switzerland"
99	LANDI Aare Genossenschaft	Bahnhofstrasse 17	3532	Zäziwil	"Bahnhofstrasse 17, Zäziwil, Switzerland"
100	Region Langnau AG	Dorfstrasse 73	3534	Signau	"Dorfstrasse 73, Signau, Switzerland"
101	LANDI Röthenbach - Eggiwil	Beisatzgasse 480 A	3537	Eggiwil	"Beisatzgasse 480 A, Eggiwil, Switzerland"
102	LANDI Röthenbach-Eggiwil	Dorf	3538	Röthenbach i. E.	"Dorf, Röthenbach i. E., Switzerland"
103	LANDI Wiggen und Umgebung	Bahnhofstrasse 4	3555	Trubschachen	"Bahnhofstrasse 4, Trubschachen, Switzerland"
104	LANDI Thun Genossenschaft	Glockentalstrasse 50	3612	Steffisburg	"Glockentalstrasse 50, Steffisburg, Switzerland"
105	LANDI Niesen Genossenschaft	Blumensteinstrasse 28	3634	Thierachern	"Blumensteinstrasse 28, Thierachern, Switzerland"
106	LANDI Thun Genossenschaft	Bahnhofstrasse 16	3661	Uetendorf	"Bahnhofstrasse 16, Uetendorf, Switzerland"
107	LANDI Herbligen - Brenzikofen	Stationsstrasse 3	3671	Brenzikofen	"Stationsstrasse 3, Brenzikofen, Switzerland"
108	LANDI Thun Genossenschaft	Dorfstrasse 23	3673	Linden	"Dorfstrasse 23, Linden, Switzerland"
109	LANDI Niesen Genossenschaft	Faulenbachweg 70	3700	Spiez	"Faulenbachweg 70, Spiez, Switzerland"
110	LANDI Reichenbach-Kandertal Genossenschaft	Hauptstrasse 36	3713	Reichenbach i. K.	"Hauptstrasse 36, Reichenbach i. K., Switzerland"
111	LANDI Jungfrau AG	Christoph Kunz-Olympiastrasse 18	3714	Frutigen	"Christoph Kunz-Olympiastrasse 18, Frutigen, Switzerland"
112	LANDI Diemtigtal Genossenschaft	Unterdorfweg 7	3753	Oey	"Unterdorfweg 7, Oey, Switzerland"
113	LANDI Simmental-Saanenland	Simmentalstrasse	3763	Därstetten	"Simmentalstrasse, Därstetten, Switzerland"
114	LANDI Simmental-Saanenland	Schulstrasse 1	3770	Zweisimmen	"Schulstrasse 1, Zweisimmen, Switzerland"
115	LANDI Simmental-Saanenland	Thunstrasse 29H	3770	Zweisimmen	"Thunstrasse 29H, Zweisimmen, Switzerland"
116	LANDI Simmental-Saanenland	Lenkstrasse 74	3775	Lenk im Simmental	"Lenkstrasse 74, Lenk im Simmental, Switzerland"
117	LANDI Simmental-Saanenland	Güterstrasse 10	3780	Gstaad	"Güterstrasse 10, Gstaad, Switzerland"
118	LANDI Simmental-Saanenland	Mattenstrasse 120	3783	Grund bei Gstaad	"Mattenstrasse 120, Grund bei Gstaad, Switzerland"
119	LANDI Jungfrau AG	Untere Bönigstrasse 50	3800	Interlaken	"Untere Bönigstrasse 50, Interlaken, Switzerland"
120	LANDI Grindelwald Genossenschaft	Wärgitalstrasse 4	3818	Grindelwald	"Wärgitalstrasse 4, Grindelwald, Switzerland"
121	LANDI Jungfrau AG	Stägmattgasse 1	3855	Brienz	"Stägmattgasse 1, Brienz, Switzerland"
122	LANDI Jungfrau AG	Liechtenenstrasse 18	3860	Meiringen	"Liechtenenstrasse 18, Meiringen, Switzerland"
123	LANDI Oberwallis AG	Überlandstrasse 70	3902	Brig-Glis	"Überlandstrasse 70, Brig-Glis, Switzerland"
124	LANDI Reba AG	Nordring 2	4147	Aesch BL	"Nordring 2, Aesch BL, Switzerland"
125	LANDI Reba AG	Güterstrasse 33	4242	Laufen	"Güterstrasse 33, Laufen, Switzerland"
126	LANDI FRILA	Untere Rütenenstrasse 1	4310	Rheinfelden	"Untere Rütenenstrasse 1, Rheinfelden, Switzerland"
127	Milch- und Landwirtschaftliche Genossenschaft Liestal	Zeughausplatz 16-20	4410	Liestal	"Zeughausplatz 16-20, Liestal, Switzerland"
128	LANDI Reba AG	Grüngenstrasse 3	4416	Bubendorf	"Grüngenstrasse 3, Bubendorf, Switzerland"
129	LANDI Oberdorf	Hintere Gasse 6	4436	Oberdorf BL	"Hintere Gasse 6, Oberdorf BL, Switzerland"
130	LANDI Tenniken	Hofmattweg 16	4456	Tenniken	"Hofmattweg 16, Tenniken, Switzerland"
131	LANDI Reba AG	Sissacherstrasse 40	4460	Gelterkinden	"Sissacherstrasse 40, Gelterkinden, Switzerland"
132	LANDI Subingen	Gewerbestrasse 1	4553	Subingen	"Gewerbestrasse 1, Subingen, Switzerland"
133	LANDI Bucheggberg	beim Bahnhof	4573	Lohn-Ammannsegg	"beim Bahnhof, Lohn-Ammannsegg, Switzerland"
134	Landi BippGäuThal AG	Dorfstrasse 5	4612	Wangen bei Olten	"Dorfstrasse 5, Wangen bei Olten, Switzerland"
135	LANDI Fulenbach	Dorfstrasse 23	4629	Fulenbach	"Dorfstrasse 23, Fulenbach, Switzerland"
136	LANDI Aarau-West AG	Burmattstrasse 1	4652	Winznau	"Burmattstrasse 1, Winznau, Switzerland"
137	LANDI Aarau-West AG	Schachenstrasse 10	4658	Däniken	"Schachenstrasse 10, Däniken, Switzerland"
138	LANDI BippGäuThal AG	Äussere Klus 39	4702	Oensingen	"Äussere Klus 39, Oensingen, Switzerland"
139	LANDI Zofingen	Kornweg 3	4800	Zofingen	"Kornweg 3, Zofingen, Switzerland"
140	LANDI Melchnau-Bützberg	Dorfstrasse 34	4917	Melchnau	"Dorfstrasse 34, Melchnau, Switzerland"
141	LANDI Melchnau Bützberg	Zürichstrasse 32	4922	Bützberg	"Zürichstrasse 32, Bützberg, Switzerland"
142	LANDI Eriswil Genossenschaft	Bahnhofsplatz 6	4952	Eriswil	"Bahnhofsplatz 6, Eriswil, Switzerland"
143	LANDI Region Huttwil AG	Bernstrasse 62	4953	Schwarzenbach	"Bernstrasse 62, Schwarzenbach, Switzerland"
144	LANDI Oberes Fricktal	Oeligasse 94	5063	Wölflinswil	"Oeligasse 94, Wölflinswil, Switzerland"
145	LANDI FRILA	Gerenweg 4	5073	Gipf-Oberfrick	"Gerenweg 4, Gipf-Oberfrick, Switzerland"
146	LANDI FRILA	Laufenburgerstrasse 6	5074	Eiken	"Laufenburgerstrasse 6, Eiken, Switzerland"
147	LANDI Klingnau	Zelgli 6	5313	Klingnau	"Zelgli 6, Klingnau, Switzerland"
148	LANDI Wasserschloss	Hornblick 3	5412	Gebenstorf	"Hornblick 3, Gebenstorf, Switzerland"
149	LANDI Schneisingen	Zimmereiweg 2	5425	Schneisingen	"Zimmereiweg 2, Schneisingen, Switzerland"
150	LANDI Furt- und Limmattal Genossenschaft	Landstrasse 40	5436	Würenlos	"Landstrasse 40, Würenlos, Switzerland"
151	LANDI Freiamt	Bergstrasse 6	5452	Oberrohrdorf	"Bergstrasse 6, Oberrohrdorf, Switzerland"
152	LANDI Lenzburg	Sägestrasse 10	5600	Lenzburg	"Sägestrasse 10, Lenzburg, Switzerland"
153	LANDI Freiamt	Luzernstrasse 65	5630	Muri AG	"Luzernstrasse 65, Muri AG, Switzerland"
154	LANDI Sins	Bahnhofstrasse 32	5643	Sins	"Bahnhofstrasse 32, Sins, Switzerland"
155	LANDI Unteres Seetal	Dürrenäscherweg 413	5705	Hallwil	"Dürrenäscherweg 413, Hallwil, Switzerland"
156	LANDI Hallwilersee	Poststrasse 18	5707	Seengen	"Poststrasse 18, Seengen, Switzerland"
157	LANDI Unteres Seetal	Kirchenfeldstrasse 10	5722	Gränichen	"Kirchenfeldstrasse 10, Gränichen, Switzerland"
158	LANDI Hallwilersee	Mattenstrasse 10	5734	Reinach AG	"Mattenstrasse 10, Reinach AG, Switzerland"
159	LANDI Aarau-West AG	Hardfeld 1	5742	Kölliken	"Hardfeld 1, Kölliken, Switzerland"
160	LANDI Sursee	Guglern 34	6018	Buttisholz	"Guglern 34, Buttisholz, Switzerland"
161	LANDI Sempach-Emmen	Bahnhofstrasse 15	6020	Emmenbrücke	"Bahnhofstrasse 15, Emmenbrücke, Switzerland"
162	LANDI Sempach-Emmen	Stationsstrasse 82	6023	Rothenburg	"Stationsstrasse 82, Rothenburg, Switzerland"
163	LANDI Buchrain Genossenschaft	Schiltwaldstrasse 2	6033	Buchrain	"Schiltwaldstrasse 2, Buchrain, Switzerland"
164	LANDI Pilatus AG	Technikumstrasse 1	6048	Horw	"Technikumstrasse 1, Horw, Switzerland"
165	LANDI Unterwalden AG	Kernserstrasse 1	6060	Sarnen	"Kernserstrasse 1, Sarnen, Switzerland"
166	LANDI Pilatus AG	Mettlenmatte 1	6102	Malters	"Mettlenmatte 1, Malters, Switzerland"
167	LANDI Pilatus AG	Entlebucherstrasse 81	6110	Wolhusen	"Entlebucherstrasse 81, Wolhusen, Switzerland"
168	LANDI Luzern West	Ettiswilerstrasse 30	6130	Willisau	"Ettiswilerstrasse 30, Willisau, Switzerland"
169	LANDI Luzern West	Bahnhofstrasse 3	6144	Zell	"Bahnhofstrasse 3, Zell, Switzerland"
170	LANDI Wiggen und Umgebung Genossenschaft	Blumattstrasse 1	6162	Entlebuch	"Blumattstrasse 1, Entlebuch, Switzerland"
171	LANDI Schüpfheim-Flühli	Bahnhofstrasse 15	6170	Schüpfheim	"Bahnhofstrasse 15, Schüpfheim, Switzerland"
172	LANDI Wiggen und Umgebung Genossenschaft	Bahnhofstrasse 8	6182	Escholzmatt	"Bahnhofstrasse 8, Escholzmatt, Switzerland"
173	LANDI Wiggen und Umgebung	Unterwiggen 2	6192	Wiggen	"Unterwiggen 2, Wiggen, Switzerland"
174	LANDI Wiggen und Umgebung	Fischbach	6197	Schangnau	"Fischbach, Schangnau, Switzerland"
175	LANDI Sempach-Emmen	Bahnhofstrasse 27	6203	Sempach Station	"Bahnhofstrasse 27, Sempach Station, Switzerland"
176	LANDI Nottwil - Buttisholz	Kantonsstrasse 14	6207	Nottwil	"Kantonsstrasse 14, Nottwil, Switzerland"
177	LANDI-Markt AG Sursee	Schellenrain 11	6208	Oberkirch	"Schellenrain 11, Oberkirch, Switzerland"
178	LANDI Beromünster	Aargauerstrasse 11	6215	Beromünster	"Aargauerstrasse 11, Beromünster, Switzerland"
179	LANDI Triengen	Kantonsstrasse 4	6234	Triengen	"Kantonsstrasse 4, Triengen, Switzerland"
180	LANDI Luzern West	Schürmatt 3	6247	Schötz	"Schürmatt 3, Schötz, Switzerland"
181	LANDI Luzern West	Dörflimatte 1	6260	Reiden	"Dörflimatte 1, Reiden, Switzerland"
182	LANDI Oberseetal	Huwilstrasse 7	6280	Hochdorf	"Huwilstrasse 7, Hochdorf, Switzerland"
183	LANDI Oberseetal	Mettmenstrasse 5	6288	Schongau	"Mettmenstrasse 5, Schongau, Switzerland"
184	LANDI Zugerland	Oberallmendstrasse 24	6300	Zug	"Oberallmendstrasse 24, Zug, Switzerland"
185	LANDI Zugerland	Gewerbestrasse 1	6314	Unterägeri	"Gewerbestrasse 1, Unterägeri, Switzerland"
186	LANDI Hünenberg	Chamerstrasse 46	6331	Hünenberg	"Chamerstrasse 46, Hünenberg, Switzerland"
187	LANDI Zugerland	Poststrasse 3	6343	Rotkreuz	"Poststrasse 3, Rotkreuz, Switzerland"
188	LANDI Unterwalden AG	Unter Sagi 2	6362	Stansstad	"Unter Sagi 2, Stansstad, Switzerland"
189	LANDI Küssnacht AG	Zugerstrasse 4	6403	Küssnacht am Rigi	"Zugerstrasse 4, Küssnacht am Rigi, Switzerland"
190	LANDI Schwyz	Steinbislin 9	6423	Seewen SZ	"Steinbislin 9, Seewen SZ, Switzerland"
191	LANDI Uri AG	Umfahrungsstrasse 24	6467	Schattdorf	"Umfahrungsstrasse 24, Schattdorf, Switzerland"
192	LANDI Graubünden AG	Via Isla 55	7151	Schluein	"Via Isla 55, Schluein, Switzerland"
193	LANDI Graubünden AG	Löserstrasse 11	7302	Landquart	"Löserstrasse 11, Landquart, Switzerland"
194	LANDI Graubünden AG	Provisorium an der Werkallee 1	7430	Thusis	"Provisorium an der Werkallee 1, Thusis, Switzerland"
195	LANDI Furt- und Limmattal Genossenschaft	Breitestrasse 15	8106	Adlikon	"Breitestrasse 15, Adlikon, Switzerland"
196	LANDI Maur Genossenschaft	Rellikonstrasse 3	8124	Maur	"Rellikonstrasse 3, Maur, Switzerland"
197	LANDI Schleinikon	Dorfstrasse 18	8165	Schleinikon	"Dorfstrasse 18, Schleinikon, Switzerland"
198	LANDI Züri Unterland	Wehntalerstrasse 38	8181	Höri	"Wehntalerstrasse 38, Höri, Switzerland"
199	LANDI Surb Genossenschaft	Kaiserstuhlerstrasse 44	8187	Weiach	"Kaiserstuhlerstrasse 44, Weiach, Switzerland"
200	LANDI Züri Unterland	Schaffhauserstrasse 41	8193	Eglisau	"Schaffhauserstrasse 41, Eglisau, Switzerland"
201	GVS Landi AG	Gennersbrunnerstrasse 65	8207	Schaffhausen	"Gennersbrunnerstrasse 65, Schaffhausen, Switzerland"
202	LANDI Hallau / Oberhallau	Grüntalstrasse 7	8215	Hallau	"Grüntalstrasse 7, Hallau, Switzerland"
203	LANDI Wilchingen	Hauptstrasse 85	8217	Wilchingen	"Hauptstrasse 85, Wilchingen, Switzerland"
204	GVS Landi AG	Werkstrasse 15	8222	Beringen	"Werkstrasse 15, Beringen, Switzerland"
205	LANDI Schleitheim Genossenschaft	Randenstrasse	8226	Schleitheim	"Randenstrasse, Schleitheim, Switzerland"
206	LANDI Thayngen	Blumenweg 8	8240	Thayngen	"Blumenweg 8, Thayngen, Switzerland"
207	LANDI Markt Diessenhofen	Basadingerstrasse 50a	8253	Diessenhofen	"Basadingerstrasse 50a, Diessenhofen, Switzerland"
208	LANDI Untersee und Rhy	Hauptstrasse 15	8264	Eschenz	"Hauptstrasse 15, Eschenz, Switzerland"
209	LANDI Mittelthurgau	Bahnhofstrasse 10	8272	Ermatingen	"Bahnhofstrasse 10, Ermatingen, Switzerland"
210	LANDI Markt AG Kreuzlingen	Tägerwilerstrasse 6	8280	Kreuzlingen	"Tägerwilerstrasse 6, Kreuzlingen, Switzerland"
211	LG Kloten / Landwirtschaftliche Genossenschaft Kloten	Dorfstrasse 59	8302	Kloten	"Dorfstrasse 59, Kloten, Switzerland"
212	LANDI Zola AG	Usterstrasse 27	8308	Illnau	"Usterstrasse 27, Illnau, Switzerland"
213	LANDI Züri Unterland	Eigentalstrasse 51	8309	Nürensdorf	"Eigentalstrasse 51, Nürensdorf, Switzerland"
214	LANDI Zola AG	Kempttalstrasse 90	8330	Pfäffikon ZH	"Kempttalstrasse 90, Pfäffikon ZH, Switzerland"
215	LANDI Bachtel Genossenschaft	Adetswilerstrasse 16a	8344	Bäretswil	"Adetswilerstrasse 16a, Bäretswil, Switzerland"
216	LANDI Eulachtal Genossenschaft	St. Gallerstrasse 6	8352	Elsau	"St. Gallerstrasse 6, Elsau, Switzerland"
217	LANDI Tannzapfenland Genossenschaft	Tanneggerstrasse 4	8374	Dussnang	"Tanneggerstrasse 4, Dussnang, Switzerland"
218	LANDI Neftenbach AG	Zürichstrasse 44	8413	Neftenbach	"Zürichstrasse 44, Neftenbach, Switzerland"
219	LANDI Züri Unterland	Lagerhausweg 4	8424	Embrach	"Lagerhausweg 4, Embrach, Switzerland"
220	LANDI Buchberg-Rüdlingen	Winkelweg 4	8454	Buchberg	"Winkelweg 4, Buchberg, Switzerland"
221	LANDI Weinland Genossenschaft	Güeterstrass 3	8460	Marthalen	"Güeterstrass 3, Marthalen, Switzerland"
222	LANDI Dägerlen u. Umgebung	Dorfstrasse 12	8471	Rutschwil-Dägerlen	"Dorfstrasse 12, Rutschwil-Dägerlen, Switzerland"
